net_id,from_id,to_id,value
2005-12-31,CA,CH,12077
2005-12-31,CA,TR,99
2005-12-31,CA,GB,67229
2005-12-31,CA,US,41123
2005-12-31,CL,5A,55015
2005-12-31,CL,AU,121
2005-12-31,CL,AT,239
2005-12-31,CL,BE,215
2005-12-31,CL,TW,75
2005-12-31,CL,FR,1537
2005-12-31,CL,DE,2483
2005-12-31,CL,IT,480
2005-12-31,CL,JP,1207
2005-12-31,CL,PT,34
2005-12-31,CL,ES,31657
2005-12-31,CL,SE,11
2005-12-31,CL,GB,1809
2005-12-31,CL,US,8553
2005-12-31,FI,5A,133314
2005-12-31,FI,AU,290
2005-12-31,FI,AT,931
2005-12-31,FI,BE,2340
2005-12-31,FI,CL,4
2005-12-31,FI,TW,19
2005-12-31,FI,FR,4310
2005-12-31,FI,DE,13929
2005-12-31,FI,GR,18
2005-12-31,FI,IT,446
2005-12-31,FI,JP,3280
2005-12-31,FI,NL,5069
2005-12-31,FI,PT,59
2005-12-31,FI,ES,2132
2005-12-31,FI,SE,83237
2005-12-31,FI,TR,12
2005-12-31,FI,GB,7167
2005-12-31,FI,US,3670
2005-12-31,FR,5A,784112
2005-12-31,FR,AU,5091
2005-12-31,FR,AT,7989
2005-12-31,FR,BE,74955
2005-12-31,FR,CL,105
2005-12-31,FR,TW,4009
2005-12-31,FR,DE,149594
2005-12-31,FR,GR,763
2005-12-31,FR,IT,23053
2005-12-31,FR,JP,83138
2005-12-31,FR,NL,89144
2005-12-31,FR,PT,8715
2005-12-31,FR,ES,53388
2005-12-31,FR,SE,3930
2005-12-31,FR,CH,58416
2005-12-31,FR,TR,743
2005-12-31,FR,GB,137872
2005-12-31,FR,US,42588
2005-12-31,DE,5A,1185747
2005-12-31,DE,AU,8840
2005-12-31,DE,AT,41575
2005-12-31,DE,BE,66482
2005-12-31,DE,CL,108
2005-12-31,DE,TW,5708
2005-12-31,DE,FR,110995
2005-12-31,DE,GR,1092
2005-12-31,DE,IT,34446
2005-12-31,DE,JP,106207
2005-12-31,DE,NL,193057
2005-12-31,DE,PT,7187
2005-12-31,DE,ES,56502
2005-12-31,DE,SE,80256
2005-12-31,DE,CH,99156
